year,month,is_ruen,date
2004,4,0,2004-05-19
2004,5,0,2004-06-18
2004,6,0,2004-07-17
2004,7,0,2004-08-16
2004,8,0,2004-09-14
2004,9,0,2004-10-14
2004,10,0,2004-11-12
2004,11,0,2004-12-12
2005,12,0,2005-01-10
2005,1,0,2005-02-09
2005,2,0,2005-03-10
2005,3,0,2005-04-09
2005,4,0,2005-05-08
2005,5,0,2005-06-07
2005,6,0,2005-07-06
2005,7,0,2005-08-05
2005,8,0,2005-09-04
2005,9,0,2005-10-03
2005,10,0,2005-11-02
2005,11,0,2005-12-01
2005,12,0,2005-12-31
2006,1,0,2006-01-29
2006,2,0,2006-02-28
2006,3,0,2006-03-29
2006,4,0,2006-04-28
2006,5,0,2006-05-27
2006,6,0,2006-06-26
2006,7,0,2006-07-25
2006,7,1,2006-08-24
2006,8,0,2006-09-22
2006,9,0,2006-10-22
2006,10,0,2006-11-21
2006,11,0,2006-12-20
2007,12,0,2007-01-19
2007,1,0,2007-02-18
2007,2,0,2007-03-19
2007,3,0,2007-04-17
2007,4,0,2007-05-17
2007,5,0,2007-06-15
2007,6,0,2007-07-14
2007,7,0,2007-08-13
2007,8,0,2007-09-11
2007,9,0,2007-10-11
2007,10,0,2007-11-10
2007,11,0,2007-12-10
2008,12,0,2008-01-08
2008,1,0,2008-02-07
2008,2,0,2008-03-08
2008,3,0,2008-04-06
2008,4,0,2008-05-05
2008,5,0,2008-06-04
2008,6,0,2008-07-03
2008,7,0,2008-08-01
2008,8,0,2008-08-31
2008,9,0,2008-09-29
2008,10,0,2008-10-29
2008,11,0,2008-11-28
2008,12,0,2008-12-27
2009,1,0,2009-01-26
2009,2,0,2009-02-25
2009,3,0,2009-03-27
2009,4,0,2009-04-25
2009,5,0,2009-05-24
2009,5,1,2009-06-23
2009,6,0,2009-07-22
2009,7,0,2009-08-20
2009,8,0,2009-09-19
2009,9,0,2009-10-18
2009,10,0,2009-11-17
2009,11,0,2009-12-16
2010,12,0,2010-01-15
2010,1,0,2010-02-14
2010,2,0,2010-03-16
2010,3,0,2010-04-14
2010,4,0,2010-05-14
2010,5,0,2010-06-12
2010,6,0,2010-07-12
2010,7,0,2010-08-10
2010,8,0,2010-09-08
2010,9,0,2010-10-08
2010,10,0,2010-11-06
2010,11,0,2010-12-06
2011,12,0,2011-01-04
2011,1,0,2011-02-03
2011,2,0,2011-03-05
2011,3,0,2011-04-03
2011,4,0,2011-05-03
2011,5,0,2011-06-02
2011,6,0,2011-07-01
2011,7,0,2011-07-31
2011,8,0,2011-08-29
2011,9,0,2011-09-27
2011,10,0,2011-10-27
2011,11,0,2011-11-25
2011,12,0,2011-12-25
2012,1,0,2012-01-23
2012,2,0,2012-02-22
2012,3,0,2012-03-22
2012,4,0,2012-04-21
2012,4,1,2012-05-21
2012,5,0,2012-06-19
2012,6,0,2012-07-19
2012,7,0,2012-08-17
2012,8,0,2012-09-16
2012,9,0,2012-10-15
2012,10,0,2012-11-14
2012,11,0,2012-12-13
2013,12,0,2013-01-12
2013,1,0,2013-02-10
2013,2,0,2013-03-12
2013,3,0,2013-04-10
2013,4,0,2013-05-10
2013,5,0,2013-06-08
2013,6,0,2013-07-08
2013,7,0,2013-08-07
2013,8,0,2013-09-05
2013,9,0,2013-10-05
2013,10,0,2013-11-03
2013,11,0,2013-12-03
2014,12,0,2014-01-01
2014,1,0,2014-01-31
2014,2,0,2014-03-01
2014,3,0,2014-03-31
2014,4,0,2014-04-29
2014,5,0,2014-05-29
2014,6,0,2014-06-27
2014,7,0,2014-07-27
2014,8,0,2014-08-25
2014,9,0,2014-09-24
2014,9,1,2014-10-24
2014,10,0,2014-11-22
2014,11,0,2014-12-22
2015,12,0,2015-01-20
2015,1,0,2015-02-19
2015,2,0,2015-03-20
2015,3,0,2015-04-19
2015,4,0,2015-05-18
2015,5,0,2015-06-16
2015,6,0,2015-07-16
2015,7,0,2015-08-14
2015,8,0,2015-09-13
2015,9,0,2015-10-13
2015,10,0,2015-11-12
2015,11,0,2015-12-11
2016,12,0,2016-01-10
2016,1,0,2016-02-08
2016,2,0,2016-03-09
2016,3,0,2016-04-07
2016,4,0,2016-05-07
2016,5,0,2016-06-05
2016,6,0,2016-07-04
2016,7,0,2016-08-03
2016,8,0,2016-09-01
2016,9,0,2016-10-01
2016,10,0,2016-10-31
2016,11,0,2016-11-29
2016,12,0,2016-12-29
2017,1,0,2017-01-28
2017,2,0,2017-02-26
2017,3,0,2017-03-28
2017,4,0,2017-04-26
2017,5,0,2017-05-26
2017,6,0,2017-06-24
2017,6,1,2017-07-23
2017,7,0,2017-08-22
2017,8,0,2017-09-20
2017,9,0,2017-10-20
2017,10,0,2017-11-18
2017,11,0,2017-12-18
2018,12,0,2018-01-17
2018,1,0,2018-02-16
2018,2,0,2018-03-17
2018,3,0,2018-04-16
2018,4,0,2018-05-15
2018,5,0,2018-06-14
2018,6,0,2018-07-13
2018,7,0,2018-08-11
2018,8,0,2018-09-10
2018,9,0,2018-10-09
2018,10,0,2018-11-08
2018,11,0,2018-12-07
2019,12,0,2019-01-06
2019,1,0,2019-02-05
2019,2,0,2019-03-07
2019,3,0,2019-04-05
2019,4,0,2019-05-05
2019,5,0,2019-06-03
2019,6,0,2019-07-03
2019,7,0,2019-08-01
2019,8,0,2019-08-30
2019,9,0,2019-09-29
2019,10,0,2019-10-28
2019,11,0,2019-11-26
2019,12,0,2019-12-26
2020,1,0,2020-01-25
2020,2,0,2020-02-23
2020,3,0,2020-03-24
2020,4,0,2020-04-23
2020,4,1,2020-05-23
2020,5,0,2020-06-21
2020,6,0,2020-07-21
2020,7,0,2020-08-19
2020,8,0,2020-09-17
2020,9,0,2020-10-17
2020,10,0,2020-11-15
2020,11,0,2020-12-15
2021,12,0,2021-01-13
2021,1,0,2021-02-12
2021,2,0,2021-03-13
2021,3,0,2021-04-12
2021,4,0,2021-05-12
2021,5,0,2021-06-10
2021,6,0,2021-07-10
2021,7,0,2021-08-08
2021,8,0,2021-09-07
2021,9,0,2021-10-06
2021,10,0,2021-11-05
2021,11,0,2021-12-04
2022,12,0,2022-01-03
2022,1,0,2022-02-01
2022,2,0,2022-03-03
2022,3,0,2022-04-01
2022,4,0,2022-05-01
2022,5,0,2022-05-30
2022,6,0,2022-06-29
2022,7,0,2022-07-29
2022,8,0,2022-08-27
2022,9,0,2022-09-26
2022,10,0,2022-10-25
2022,11,0,2022-11-24
2022,12,0,2022-12-23
2023,1,0,2023-01-22
2023,2,0,2023-02-20
2023,2,1,2023-03-22
2023,3,0,2023-04-20
2023,4,0,2023-05-19
2023,5,0,2023-06-18
2023,6,0,2023-07-18
2023,7,0,2023-08-16
2023,8,0,2023-09-15
2023,9,0,2023-10-15
2023,10,0,2023-11-13
2023,11,0,2023-12-13
2024,12,0,2024-01-11
2024,1,0,2024-02-10
2024,2,0,2024-03-10
2024,3,0,2024-04-09
2024,4,0,2024-05-08
2024,5,0,2024-06-06
2024,6,0,2024-07-06
2024,7,0,2024-08-04
2024,8,0,2024-09-03
2024,9,0,2024-10-03
2024,10,0,2024-11-01
2024,11,0,2024-12-01
2024,12,0,2024-12-31
2025,1,0,2025-01-29
2025,2,0,2025-02-28
2025,3,0,2025-03-29
2025,4,0,2025-04-28
2025,5,0,2025-05-27
2025,6,0,2025-06-25
2025,6,1,2025-07-25
2025,7,0,2025-08-23
2025,8,0,2025-09-22
2025,9,0,2025-10-21
2025,10,0,2025-11-20
2025,11,0,2025-12-20
2026,12,0,2026-01-19
2026,1,0,2026-02-17
2026,2,0,2026-03-19
2026,3,0,2026-04-17
2026,4,0,2026-05-17
2026,5,0,2026-06-15
2026,6,0,2026-07-14
2026,7,0,2026-08-13
2026,8,0,2026-09-11
2026,9,0,2026-10-10
2026,10,0,2026-11-09
2026,11,0,2026-12-09
2027,12,0,2027-01-08
2027,1,0,2027-02-06
2027,2,0,2027-03-08
2027,3,0,2027-04-07
2027,4,0,2027-05-06
2027,5,0,2027-06-05
2027,6,0,2027-07-04
2027,7,0,2027-08-02
2027,8,0,2027-09-01
2027,9,0,2027-09-30
2027,10,0,2027-10-29
2027,11,0,2027-11-28
2027,12,0,2027-12-28
2028,1,0,2028-01-26
2028,2,0,2028-02-25
2028,3,0,2028-03-26
2028,4,0,2028-04-25
2028,5,0,2028-05-24
